"Economy","Law Name","Law Number / Ref","Last Amended","Indicator ID","Article / Section","Discovery Tag","Location Reference","Verbatim Snippet","Mapping Rationale","Source URL","Confidence","Notes","Pillar","RDTII_Raw_Score","Coverage"
"Australia","My Health Records Act 2012","","October 2024","P6-I1","Section 77","","","","The My Health Records Act 2012 (Section 77) mandates that such government medical records must not be held or processed outside national borders, ensuring data security and sovereignty. Exceptions apply only if the records do not include personal or identifying information related to healthcare recipients or participants in the system.","https://www.legislation.gov.au/C2012A00063; https://www.ag.gov.au/rights-and-protections/consultations/apec-cross-border-privacy-rules-australias-participation","","BGK Timeframe: Since June 2012, last amended in October 2024 | BGK Note: Pillar 6.1 and 6.2 have the same resources as the policies cover both process and storage requirements.","6","0.5","Personal Health Data"
"Australia","My Health Records Act 2012","","October 2024","P6-I2","Section 77","","","","The My Health Records Act 2012 (Section 77) mandates that such government medical records must be stored and processed within Australia, ensuring data security and sovereignty. Exceptions apply only if the records do not include personal or identifying information related to healthcare recipients or participants in the system.","https://www.legislation.gov.au/C2012A00063; https://www.ag.gov.au/rights-and-protections/consultations/apec-cross-border-privacy-rules-australias-participation","","BGK Timeframe: Since June 2012, last amended in October 2024 | BGK Note: Pillar 6.1 and 6.2 have the same resources as the policies cover both process and storage requirements.","6","0.5","Personal Health Data"
"Australia","Privacy Act 1988","","October 2024","P6-I3","","","","","No infrastructure requirements were found.","https://www.legislation.gov.au/C2004A03712","","BGK Timeframe: Since December 1988, last amended in October 2024","6","0","Horizontal"
"Australia","Privacy Act 1988","","October 2024","P6-I4","APP 8","","","","Under Australian Privacy Principle 8 (APP 8) of the Privacy Act 1988, cross-border disclosure of personal information is allowed in certain conditions, including when the recipient country has similar privacy protections to Australia, when the individual gives consent, or when required by law. Different rules apply for government data, including restrictions to stay within Australia.","https://www.legislation.gov.au/C2004A03712","","BGK Timeframe: Since December 1988, last amended in October 2024","6","1","Horizontal"
"Australia","Privacy Act 1988","","October 2024","P7-I1","","","","","The Privacy Act 1988 is the primary federal legislation that governs protection of personal information and applies horizontally. The Act includes thirteen Privacy Principles, which set out standards, rights and obligations for the handling, holding, use, accessing and correction of personal information (including sensitive information. The Privacy Act's amendment in 2018 introduced a mandatory notification scheme for entities in responding to data breaches. The Notifiable Data Breach Scheme (NDB scheme) introduced an obligation to notify individuals whose personal information is involved in a data breach that is likely to result in serious harm. The NDB scheme applies to all agencies and organisations with existing personal information security obligations under the Australian Privacy Act. The Privacy Act's amendment in 2023 increases the maximum penalties for serious or repeated privacy breaches and provides the Australian Information Commissioner with greater powers to resolve privacy breaches and quickly share information about data breaches.","https://www.legislation.gov.au/C2004A03712; https://www.oaic.gov.au/privacy/notifiable-data-breaches","","BGK Timeframe: Since December 1988, last amended in October 2024 | BGK Note: Since December 2022, the Privacy Act threatens higher penalties, namely the highest of AUD 50 million (approx. USD 33.1 million), three times the value of benefits obtained by the violation or 30% of local turnover. A current proposal aims to enable “action initiation” in the Consumer Data Right framework for sectoral data portability. In 2021, the Attorney General proposed an online privacy code for online platforms and data brokers, which did not advance to date.","7","0","Horizontal"
"Australia","Security of Critical Infrastructure Act 2018","","October 2023","P7-I2","","","","","Australia's Cyber Security is guided through the 2023-2030 Australian Cyber Security Strategy, which includes a roadmap for new legislation and standards.

Until the new legislation under the strategy is passed, Cybersecurity is controlled through a mixture of laws including the Security of Critical Infrastructure Act 2018, Privacy Act 1988 and the Criminal Code Act 1995. These laws contain cybersecurity-related provisions dispersed across sectoral and thematic statutes, addressing critical infrastructure protection, data security, and cybercrime respectively, but they do not constitute a single, coherent, and horizontally applicable cybersecurity-specific legal framework.","https://www.legislation.gov.au/C2018A00029/latest/versions","","BGK Timeframe: Since April 2018, last amended in October 2023 | BGK Note: Before parliament is a standalone Cyber Security Act to ensure strong laws and protections are in place through a clear legislative framework. The Legislative Package consists of the, Cyber Security Bill 2024, Intelligence Services and Other Legislation Amendment (Cyber Security) Bill 2024, Security of Critical Infrastructure and Other Legislation Amendment (Enhanced Response and Prevention) Bill 2024.","7","0.5","Horizontal"
"Australia","Privacy Act 1988","","October 2024","P7-I2","","","","","Australia's Cyber Security is guided through the 2023-2030 Australian Cyber Security Strategy, which includes a roadmap for new legislation and standards.

Until the new legislation under the strategy is passed, Cybersecurity is controlled through a mixture of laws including the Security of Critical Infrastructure Act 2018, Privacy Act 1988 and the Criminal Code Act 1995. These laws contain cybersecurity-related provisions dispersed across sectoral and thematic statutes, addressing critical infrastructure protection, data security, and cybercrime respectively, but they do not constitute a single, coherent, and horizontally applicable cybersecurity-specific legal framework.","https://www.legislation.gov.au/C2004A03712/latest/versions","","BGK Timeframe: Since December 1988, last amended in October 2024 | BGK Note: Before parliament is a standalone Cyber Security Act to ensure strong laws and protections are in place through a clear legislative framework. The Legislative Package consists of the, Cyber Security Bill 2024, Intelligence Services and Other Legislation Amendment (Cyber Security) Bill 2024, Security of Critical Infrastructure and Other Legislation Amendment (Enhanced Response and Prevention) Bill 2024.","7","0.5","Horizontal"
"Australia","Criminal Code Act 1995","","October 2024","P7-I2","","","","","Australia's Cyber Security is guided through the 2023-2030 Australian Cyber Security Strategy, which includes a roadmap for new legislation and standards.

Until the new legislation under the strategy is passed, Cybersecurity is controlled through a mixture of laws including the Security of Critical Infrastructure Act 2018, Privacy Act 1988 and the Criminal Code Act 1995. These laws contain cybersecurity-related provisions dispersed across sectoral and thematic statutes, addressing critical infrastructure protection, data security, and cybercrime respectively, but they do not constitute a single, coherent, and horizontally applicable cybersecurity-specific legal framework.","https://www.legislation.gov.au/C2004A04868/latest/versions","","BGK Timeframe: Since March 1995, last amended in October 2024 | BGK Note: Before parliament is a standalone Cyber Security Act to ensure strong laws and protections are in place through a clear legislative framework. The Legislative Package consists of the, Cyber Security Bill 2024, Intelligence Services and Other Legislation Amendment (Cyber Security) Bill 2024, Security of Critical Infrastructure and Other Legislation Amendment (Enhanced Response and Prevention) Bill 2024.","7","0.5","Horizontal"
"Australia","2023-2030 Australian Cyber Security Strategy","","","P7-I2","","","","","Australia's Cyber Security is guided through the 2023-2030 Australian Cyber Security Strategy, which includes a roadmap for new legislation and standards.

Until the new legislation under the strategy is passed, Cybersecurity is controlled through a mixture of laws including the Security of Critical Infrastructure Act 2018, Privacy Act 1988 and the Criminal Code Act 1995. These laws contain cybersecurity-related provisions dispersed across sectoral and thematic statutes, addressing critical infrastructure protection, data security, and cybercrime respectively, but they do not constitute a single, coherent, and horizontally applicable cybersecurity-specific legal framework.","https://www.homeaffairs.gov.au/about-us/our-portfolios/cyber-security/strategy/2023-2030-australian-cyber-security-strategy","","BGK Timeframe: Since 2023 | BGK Note: Before parliament is a standalone Cyber Security Act to ensure strong laws and protections are in place through a clear legislative framework. The Legislative Package consists of the, Cyber Security Bill 2024, Intelligence Services and Other Legislation Amendment (Cyber Security) Bill 2024, Security of Critical Infrastructure and Other Legislation Amendment (Enhanced Response and Prevention) Bill 2024.","7","0.5","Horizontal"
"Australia","Telecommunications (Interception and Access) Act 1979","","October 2024","P7-I3","Section 187C; Section 187AA","","","","The Telecommunications (Interception and Access) Act 1979 requires a telecommunication service provider to keep specific telecommunications data relating to the services it offers for two years (187C). The dataset to be kept includes: the subscriber and the accounts of telecommunications devices, the source of a communication, the destination of a communication, the date, time and duration of a communication, the type of a communication, and the location of equipment or a line used (187AA). This retention scheme was inserted into the Act by the Telecommunications (Interception and Access) Amendment (Data Retention) Act 2015.","https://www.legislation.gov.au/C2004A02124/latest/text","","BGK Timeframe: Since October 1979, last amended in October 2024","7","1","Internet and mobile service providers"
